strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,probe_frac,hop_count,gossip_r,trial
antsql,0.0,12101,14,10,500,3515,0.9314366998577525,6.548,35.35991329304978,84.90015776268707,7650.0,0.7002929329915781,0,,0,0.15,1,0.0,1
antsql,0.0,12102,14,10,500,3564,0.9584736251402918,6.832,34.13860101786645,77.28011612304542,7055.0,0.6737656384299494,0,,0,0.15,1,0.0,2
antsql,0.0,12200,14,10,500,3482,0.9474439977024699,6.598,34.519719293021694,81.05792412815943,7509.0,0.6947631384159881,0,,0,0.15,1,0.01,0
antsql,0.0,12201,14,10,500,3517,0.9505260164913278,6.686,29.6252937280389,65.44140393800436,7348.0,0.6873070807221027,0,,0,0.15,1,0.01,1
antsql,0.0,12202,14,10,500,3413,0.9551714034573688,6.52,41.0162382728977,90.09199529549629,7436.0,0.6952131637995512,0,,0,0.15,1,0.01,2
antsql,0.0,12300,14,10,500,3554,0.9465391108610017,6.728,41.83608717243839,92.0501121016903,8030.0,0.7047568895910128,0,,0,0.15,1,0.03,0
antsql,0.0,12301,14,10,500,3503,0.8429917213816729,5.906,57.79496562834761,126.92500474059025,9096.0,0.7549174205328243,0,,0,0.15,1,0.03,1
antsql,0.0,12302,14,10,500,3464,0.9272517321016166,6.424,54.857088324070354,120.27350867292272,8474.0,0.7251411945918192,0,,0,0.15,1,0.03,2
antsql,0.0,12400,14,10,500,3498,0.940251572327044,6.578,43.57884517625285,98.47395053878815,10323.0,0.7583749632677049,0,,0,0.15,2,0.0,0
antsql,0.0,12401,14,10,500,3569,0.9574110395068647,6.834,38.4874714321721,81.9584227103074,10528.0,0.7549659376120473,0,,0,0.15,2,0.0,1
antsql,0.0,12402,14,10,500,3507,0.9441117764471058,6.622,34.855035036141985,76.0701599107078,10463.0,0.7596195731087556,0,,0,0.15,2,0.0,2
antsql,0.0,12500,14,10,500,3512,0.9649772209567198,6.778,35.2866274695805,77.68510533785235,10855.0,0.7620752597584948,0,,0,0.15,2,0.01,0
antsql,0.0,12501,14,10,500,3488,0.9263188073394495,6.462,36.34919807405326,81.75774528241683,10352.0,0.7621291320032394,0,,0,0.15,2,0.01,1
antsql,0.0,12502,14,10,500,3485,0.9357245337159253,6.522,38.200695896421365,86.21551784751665,10899.0,0.7697033898305085,0,,0,0.15,2,0.01,2
antsql,0.0,12600,14,10,500,3579,0.9413243922883487,6.738,42.862453576522086,95.87983494189325,11596.0,0.774874707651186,0,,0,0.15,2,0.03,0
antsql,0.0,12601,14,10,500,3457,0.9305756436216372,6.434,44.49946775564299,98.54177168817738,11899.0,0.7871791479227309,0,,0,0.15,2,0.03,1
antsql,0.0,12602,14,10,500,3514,0.937677859988617,6.59,45.097184924914814,100.55000199690657,11558.0,0.778159294418636,0,,0,0.15,2,0.03,2
