strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,max_query_hops,trial
adaptive_centralized,0.2,595276,14,10,400,2804,0.37054208273894434,2.5975,18.641637516806103,35.62049062160126,266.0,0.20383141762452106,59,4.535714285714286,2,6,15
adaptive_centralized,0.2,276011,14,10,400,2805,0.685204991087344,4.805,31.612678124706374,59.429480617127766,266.0,0.12157221206581353,50,0.8979591836734694,1,6,16
adaptive_centralized,0.2,241909,14,10,400,2817,0.38800141995030174,2.7325,24.567172807708236,51.27996865942845,266.0,0.19573215599705665,57,6.527272727272727,2,6,17
adaptive_centralized,0.2,45786,14,10,400,2663,0.7484040555764175,4.9825,21.682069436677175,40.64235467171686,266.0,0.11775121735281098,55,0.5636363636363636,0,6,18
adaptive_centralized,0.2,972270,14,10,400,2659,0.3899962391876645,2.5925,20.55005418415331,36.217963685195215,266.0,0.20414428242517269,65,5.161290322580645,3,6,19
adaptive_centralized,0.2,836666,14,10,400,2772,0.4935064935064935,3.42,21.603739803468308,46.37156156141884,266.0,0.16279069767441862,55,2.9038461538461537,2,8,0
adaptive_centralized,0.2,792164,14,10,400,2788,0.37374461979913914,2.605,21.153230571223308,43.32372067713492,266.0,0.20336391437308868,55,3.8,0,8,1
adaptive_centralized,0.2,197932,14,10,400,2822,0.77462792345854,5.465,27.891834383696665,53.219338622143184,266.0,0.10848287112561175,59,2.1551724137931036,0,8,2
adaptive_centralized,0.2,717419,14,10,400,2836,0.4721438645980254,3.3475,21.922040561213095,39.523451137739244,266.0,0.16573208722741434,62,0.6774193548387096,0,8,3
adaptive_centralized,0.2,351335,14,10,400,2746,0.40167516387472685,2.7575,22.62515895043419,42.81789444929835,266.0,0.19430241051862673,52,1.22,2,8,4
adaptive_centralized,0.2,164818,14,10,400,2870,0.3111498257839721,2.2325,17.64120566352126,31.397525732496472,266.0,0.22950819672131148,69,0.1724137931034483,11,8,5
adaptive_centralized,0.2,808240,14,10,400,2887,0.7502597852441981,5.415,26.458196175135296,50.121311880924964,266.0,0.109375,71,1.267605633802817,0,8,6
adaptive_centralized,0.2,335688,14,10,400,2739,0.37677984665936476,2.58,17.21169228846606,35.44213145181722,266.0,0.2049306625577812,63,7.984126984126984,0,8,7
adaptive_centralized,0.2,96885,14,10,400,2757,0.35400797968806674,2.44,17.787043322290145,33.462800154186596,266.0,0.214170692431562,57,2.7291666666666665,9,8,8
adaptive_centralized,0.2,688354,14,10,400,2785,0.5504488330341113,3.8325,19.201466221820628,36.007999915260925,266.0,0.14785992217898833,62,1.5,0,8,9
adaptive_centralized,0.2,583047,14,10,400,2803,0.15412058508740634,1.08,17.151010156389685,36.619280976439995,266.0,0.38108882521489973,78,2.0933333333333333,2,8,10
adaptive_centralized,0.2,757137,14,10,400,2864,0.3680167597765363,2.635,18.05370345406113,33.0417104277513,266.0,0.2015151515151515,55,1.9056603773584906,2,8,11
adaptive_centralized,0.2,769661,14,10,400,2856,0.4485294117647059,3.2025,19.80626481005555,34.89038324505103,266.0,0.17194570135746606,42,1.2195121951219512,0,8,12
adaptive_centralized,0.2,526804,14,10,400,2869,0.7518299058905542,5.3925,25.167093126562616,44.10609553156618,266.0,0.10978126289723483,54,0.0,0,8,13
adaptive_centralized,0.2,833516,14,10,400,2864,0.35579608938547486,2.5475,15.274286346486155,30.95219610410678,266.0,0.20700389105058364,72,4.583333333333333,0,8,14
adaptive_centralized,0.2,247033,14,10,400,2834,0.42378263937896965,3.0025,24.10538537816527,45.15325183824912,266.0,0.18132242672119972,63,1.7049180327868851,2,8,15
adaptive_centralized,0.2,315033,14,10,400,2809,0.8522605909576362,5.985,23.594536328228912,47.14030027503909,266.0,0.1,56,0.017857142857142856,0,8,16
adaptive_centralized,0.2,957480,14,10,400,2770,0.336101083032491,2.3275,27.01188208151182,55.921316997750495,266.0,0.2222222222222222,53,1.0784313725490196,2,8,17
adaptive_centralized,0.2,296995,14,10,400,2819,0.7261440227030862,5.1175,20.656251371577582,36.04200890081985,266.0,0.11500216169476869,54,0.0,0,8,18
adaptive_centralized,0.2,649843,14,10,400,2767,0.7799060354174195,5.395,27.685183291984664,47.77316274462199,266.0,0.10973597359735973,52,2.1153846153846154,0,8,19
adaptive_centralized,0.2,141898,14,10,400,2773,0.7432383699963938,5.1525,16.869300908112834,30.49180939126702,266.0,0.11431027073485174,57,0.7142857142857143,0,10,0
adaptive_centralized,0.2,241246,14,10,400,2905,0.41927710843373495,3.045,18.11802329531159,33.654575234953,266.0,0.1792452830188679,66,9.876923076923077,0,10,1
adaptive_centralized,0.2,683277,14,10,400,2774,0.8543619322278299,5.925,23.768992551769216,43.098630534005196,266.0,0.10091047040971168,49,1.9387755102040816,0,10,2
adaptive_centralized,0.2,298390,14,10,400,2762,0.7089065894279507,4.895,24.518328425709615,44.29862226899233,266.0,0.1196043165467626,55,1.6363636363636365,0,10,3
adaptive_centralized,0.2,28901,14,10,400,2867,0.5081967213114754,3.6425,28.198277793403875,53.60602557629371,266.0,0.1543818920487522,65,4.123076923076923,0,10,4
adaptive_centralized,0.2,937904,14,10,400,2773,0.7385503065272269,5.12,22.6428512782065,38.79611087275635,266.0,0.11495246326707001,52,0.038461538461538464,0,10,5
adaptive_centralized,0.2,745038,14,10,400,2875,0.6187826086956522,4.4475,22.5339212663219,41.87008583284205,266.0,0.13007334963325184,66,0.21666666666666667,5,10,6
adaptive_centralized,0.2,991787,14,10,400,2772,0.2846320346320346,1.9725,22.951098211489015,42.04955478521164,266.0,0.25213270142180094,71,4.408450704225352,0,10,7
adaptive_centralized,0.2,893627,14,10,400,2866,0.6109560362875087,4.3775,19.84313253402688,36.90219551523148,266.0,0.13187902825979178,67,0.0,0,10,8
adaptive_centralized,0.2,292143,14,10,400,2832,0.4826977401129944,3.4175,24.892311356043667,47.25696715196324,266.0,0.16289038579301898,65,1.7704918032786885,4,10,9
adaptive_centralized,0.2,477346,14,10,400,2865,0.631413612565445,4.5225,28.592053876247356,60.930618531707886,266.0,0.12819277108433735,55,2.0545454545454547,0,10,10
adaptive_centralized,0.2,486438,14,10,400,2791,0.5209602293084916,3.635,20.392458377753076,42.13257469239832,266.0,0.15465116279069768,53,3.641509433962264,0,10,11
adaptive_centralized,0.2,348451,14,10,400,2775,0.6681081081081081,4.635,23.33628738944546,50.11069228812316,266.0,0.12547169811320755,55,1.0,0,10,12
adaptive_centralized,0.2,88485,14,10,400,2797,0.8291026099392206,5.7975,26.206941447358833,46.64035440356848,266.0,0.10290135396518375,62,0.14516129032258066,0,10,13
adaptive_centralized,0.2,249276,14,10,400,2821,0.5856079404466501,4.13,22.543855332554415,47.072989612247184,266.0,0.1386861313868613,66,3.296875,1,10,14
adaptive_centralized,0.2,593733,14,10,400,2790,0.38924731182795697,2.715,23.265485008672613,42.710220980104154,266.0,0.19674556213017752,54,0.6037735849056604,1,10,15
adaptive_centralized,0.2,345426,14,10,400,2774,0.5021629416005768,3.4825,22.388533843883867,45.63483211989457,266.0,0.16033755274261605,58,4.571428571428571,2,10,16
adaptive_centralized,0.2,232715,14,10,400,2769,0.5695196821957386,3.9425,24.871858168353114,48.70564699313178,266.0,0.14432989690721648,56,2.1785714285714284,0,10,17
adaptive_centralized,0.2,4236,14,10,400,2778,0.6828653707703384,4.7425,21.502367641419507,36.86504522223777,266.0,0.12297734627831715,67,0.46153846153846156,2,10,18
adaptive_centralized,0.2,629300,14,10,400,2749,0.5307384503455802,3.6475,21.248519605337542,39.31082423739586,266.0,0.15420289855072464,56,2.5,0,10,19
adaptive_centralized,0.2,52518,14,10,400,2876,0.7079276773296245,5.09,17.561522205869164,32.66900845839468,266.0,0.1155516941789748,43,0.0,0,15,0
adaptive_centralized,0.2,15660,14,10,400,2826,0.5704175513092711,4.03,24.362788310136917,48.028885634615975,266.0,0.14164004259850904,53,0.39622641509433965,0,15,1
