strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,arm,trial
decentralized_greedy,0.3,912364,14,10,400,2663,0.5910627112279384,3.935,14.840006386914757,25.74251624180822,3086.0,0.6622317596566524,65,3.0317460317460316,0,node_death,7
decentralized_greedy,0.3,362111,14,10,400,2810,0.6014234875444839,4.225,17.967810773031523,35.08833087456114,3193.0,0.6539012901904567,50,3.2857142857142856,1,node_death,8
decentralized_greedy,0.3,778128,14,10,400,2843,0.3348575448469926,2.38,15.576136706346858,28.57732123427126,2027.0,0.6804296743873783,48,1.6521739130434783,2,node_death,9
decentralized_greedy,0.3,370050,14,10,400,2723,0.5420492104296731,3.69,16.696599738254264,30.160204450602166,3032.0,0.6725820763087844,57,0.6140350877192983,0,node_death,10
decentralized_greedy,0.3,217496,14,10,400,2903,0.43265587323458493,3.14,21.38200024169116,42.841467659554255,2172.0,0.6336056009334889,59,1.9454545454545455,3,node_death,11
decentralized_greedy,0.3,543062,14,10,400,2729,0.38438988640527666,2.6225,15.132175975447645,26.894447868362235,2345.0,0.6909251620506777,57,4.614035087719298,0,node_death,12
decentralized_greedy,0.3,453729,14,10,400,2859,0.2137110877929346,1.5275,19.25747352591101,34.572164921278834,1248.0,0.6713286713286714,56,0.018867924528301886,1,node_death,13
decentralized_greedy,0.3,817844,14,10,400,2872,0.2217966573816156,1.5925,12.827403795722857,23.81003438122815,1213.0,0.6556756756756756,58,3.5294117647058822,7,node_death,14
decentralized_greedy,0.3,266689,14,10,400,2862,0.16771488469601678,1.2,13.056926996626972,30.862757303337467,1039.0,0.6840026333113891,64,7.125,0,node_death,15
decentralized_greedy,0.3,357797,14,10,400,2761,0.2651213328504165,1.83,20.974099985690692,43.63868728555073,1692.0,0.698019801980198,61,4.213114754098361,0,node_death,16
decentralized_greedy,0.3,955141,14,10,400,2868,0.648186889818689,4.6475,19.323444302048404,34.92229859181639,3372.0,0.644618619766775,48,3.4791666666666665,0,node_death,17
decentralized_greedy,0.3,216498,14,10,400,2805,0.18823529411764706,1.32,14.438251270534172,27.48566433905973,1072.0,0.67,56,11.875,0,node_death,18
decentralized_greedy,0.3,697029,14,10,400,2633,0.3714394227117357,2.445,16.418366738812622,29.754698672335167,1884.0,0.6582809224318659,65,4.873015873015873,2,node_death,19
decentralized_greedy,0.3,957034,14,10,400,2873,0.6703793943612948,4.815,16.904582171520396,32.53176356649617,3522.0,0.6464757709251101,51,3.980392156862745,0,node_revival,0
decentralized_greedy,0.3,295191,14,10,400,2783,0.21954725116780452,1.5275,23.2360069097543,44.59264675574737,1518.0,0.7130108031939878,54,7.0576923076923075,1,node_revival,1
decentralized_greedy,0.3,18342,14,10,400,2780,0.7014388489208633,4.875,19.479572961769325,33.07353603405379,3464.0,0.6398226819357222,53,0.6,1,node_revival,2
decentralized_greedy,0.3,468069,14,10,400,2805,0.047058823529411764,0.33,10.565365881338804,21.881458175538643,368.0,0.736,65,7.84375,0,node_revival,3
decentralized_greedy,0.3,722122,14,10,400,2838,0.24559548978153628,1.7425,15.00082951743319,29.06445186200811,1372.0,0.6631222812953117,55,5.037037037037037,1,node_revival,4
decentralized_greedy,0.3,705640,14,10,400,2783,0.32087675170679125,2.2325,19.52101681629217,34.75064524221291,1762.0,0.663653483992467,50,0.2553191489361702,3,node_revival,5
decentralized_greedy,0.3,723633,14,10,400,2802,0.622412562455389,4.36,16.26594246982134,28.391477377969615,3355.0,0.6579721514022357,50,1.86,0,node_revival,6
decentralized_greedy,0.3,305489,14,10,400,2809,0.40939836240655036,2.875,18.887305765535558,32.79885767739217,2241.0,0.6608670008846947,64,3.0,0,node_revival,7
decentralized_greedy,0.3,808101,14,10,400,2788,0.2618364418938307,1.825,21.800457971605173,40.63654507660972,1493.0,0.6716149347728295,58,4.576923076923077,6,node_revival,8
decentralized_greedy,0.3,212329,14,10,400,2819,0.3306136927988648,2.33,15.704100912066968,29.931625001967568,2017.0,0.6839606646320787,58,0.4807692307692308,6,node_revival,9
decentralized_greedy,0.3,93082,14,10,400,2844,0.40822784810126583,2.9025,18.44823672705773,34.95544338678978,2104.0,0.6444104134762634,58,0.3620689655172414,0,node_revival,10
decentralized_greedy,0.3,874650,14,10,400,2852,0.39305750350631136,2.8025,12.545010844940657,22.736221021621105,1973.0,0.6376858435681965,60,6.362068965517241,2,node_revival,11
decentralized_greedy,0.3,616465,14,10,400,2794,0.6360057265569077,4.4425,15.187163695448707,25.162133625262015,3271.0,0.6479793977812995,47,0.15217391304347827,0,node_revival,12
