strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
antsql,0.05,275805,14,10,400,2779,0.8121626484346888,5.6425,43.66677011338629,97.93663971304277,773.0,0.25511551155115514,23,0.6956521739130435,0,5
static_centralized,0.05,703427,14,10,400,2837,0.5720831864645752,4.0575,17.92439047232755,38.40828132273838,0.0,0.0,18,0.1111111111111111,0,6
adaptive_centralized,0.05,703427,14,10,400,2837,0.8420867113147691,5.9725,21.02031227262753,40.1477056507629,266.0,0.10018832391713747,18,0.6666666666666666,0,6
decentralized_greedy,0.05,703427,14,10,400,2837,0.6193161790623899,4.3925,18.059598029181483,37.85395809499539,3844.0,0.6863060167827174,18,0.07142857142857142,4,6
antsql,0.05,703427,14,10,400,2837,0.8611209023616496,6.1075,29.81440226091917,61.374592637994546,946.0,0.2791383889052818,18,0.0,0,6
static_centralized,0.05,96446,14,10,400,2842,0.9232934553131598,6.56,25.57605600255221,40.176119685559684,0.0,0.0,17,0.0,0,7
adaptive_centralized,0.05,96446,14,10,400,2842,0.9250527797325827,6.5725,25.26757582957539,40.176119685559684,266.0,0.0918825561312608,17,0.0,0,7
decentralized_greedy,0.05,96446,14,10,400,2842,0.9257565095003518,6.5775,25.37222306322181,40.176119685559684,4578.0,0.6350395339159384,17,0.0,0,7
antsql,0.05,96446,14,10,400,2842,0.9616467276565799,6.8325,37.279023515751675,73.37785765353489,797.0,0.22577903682719547,17,0.0,0,7
static_centralized,0.05,239285,14,10,400,2786,0.7483847810480976,5.2125,17.83708903435145,31.393658241127454,0.0,0.0,15,0.0,0,8
adaptive_centralized,0.05,239285,14,10,400,2786,0.9264178033022255,6.4525,19.79299340715928,32.878266324390744,266.0,0.09343168247277836,15,0.0,0,8
