strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,max_query_hops,trial
antsql,0.2,496462,14,10,400,2807,0.5529034556465978,3.88,26.212726538384704,53.42827861231537,758.0,0.3281385281385281,62,0.29508196721311475,1,6,7
adaptive_centralized,0.2,496462,14,10,400,2807,0.6701104381902387,4.7025,23.213163137836773,41.66668376977861,266.0,0.12389380530973451,62,0.0967741935483871,0,8,7
antsql,0.2,496462,14,10,400,2807,0.6455290345564659,4.53,32.21056024952819,63.47156392638867,771.0,0.29849012775842043,62,1.1666666666666667,2,8,7
adaptive_centralized,0.2,496462,14,10,400,2807,0.6701104381902387,4.7025,23.213163137836773,41.66668376977861,266.0,0.12389380530973451,62,0.0967741935483871,0,10,7
antsql,0.2,496462,14,10,400,2807,0.6701104381902387,4.7025,35.89536469854144,75.349760171427,817.0,0.3028169014084507,62,0.8870967741935484,0,10,7
adaptive_centralized,0.2,496462,14,10,400,2807,0.6701104381902387,4.7025,23.213163137836773,41.66668376977861,266.0,0.12389380530973451,62,0.0967741935483871,0,15,7
antsql,0.2,496462,14,10,400,2807,0.6993231207695048,4.9075,39.75396175371535,81.40590327192477,792.0,0.28747731397459164,62,5.85,2,15,7
adaptive_centralized,0.2,496462,14,10,400,2807,0.6701104381902387,4.7025,23.213163137836773,41.66668376977861,266.0,0.12389380530973451,62,0.0967741935483871,0,25,7
antsql,0.2,496462,14,10,400,2807,0.6993231207695048,4.9075,39.75396175371535,81.40590327192477,792.0,0.28747731397459164,62,5.85,2,25,7
adaptive_centralized,0.2,465777,14,10,400,2833,0.6696081891987292,4.7425,27.87667614202386,51.095567641493716,266.0,0.12297734627831715,61,0.5964912280701754,3,4,8
antsql,0.2,465777,14,10,400,2833,0.5545358277444405,3.9275,28.654964715815964,58.01300230403321,803.0,0.33824768323504634,61,1.0909090909090908,5,4,8
adaptive_centralized,0.2,465777,14,10,400,2833,0.725379456406636,5.1375,29.781789008085195,54.39658428973256,266.0,0.11460577337354588,61,1.896551724137931,2,6,8
antsql,0.2,465777,14,10,400,2833,0.662548535121779,4.6925,36.63722716539809,76.55304421550181,694.0,0.2699338778685336,61,1.3166666666666667,0,6,8
adaptive_centralized,0.2,465777,14,10,400,2833,0.7274973526297212,5.1525,29.893589324526573,55.24370670444863,266.0,0.11431027073485174,61,2.189655172413793,2,8,8
antsql,0.2,465777,14,10,400,2833,0.7017296152488528,4.97,42.741307623947236,87.8853066215454,639.0,0.24324324324324326,61,0.11666666666666667,0,8,8
adaptive_centralized,0.2,465777,14,10,400,2833,0.7274973526297212,5.1525,29.893589324526573,55.24370670444863,266.0,0.11431027073485174,61,2.189655172413793,2,10,8
antsql,0.2,465777,14,10,400,2833,0.7137310271796682,5.055,42.38682914261216,88.1309197001629,871.0,0.3010715520221224,61,1.0,0,10,8
adaptive_centralized,0.2,465777,14,10,400,2833,0.7274973526297212,5.1525,29.893589324526573,55.24370670444863,266.0,0.11431027073485174,61,2.189655172413793,2,15,8
antsql,0.2,465777,14,10,400,2833,0.7130250617719732,5.05,46.165322519994184,97.07756134705386,819.0,0.2884818598097922,61,0.27586206896551724,2,15,8
adaptive_centralized,0.2,465777,14,10,400,2833,0.7274973526297212,5.1525,29.893589324526573,55.24370670444863,266.0,0.11431027073485174,61,2.189655172413793,2,25,8
antsql,0.2,465777,14,10,400,2833,0.7130250617719732,5.05,46.165322519994184,97.07756134705386,819.0,0.2884818598097922,61,0.27586206896551724,2,25,8
adaptive_centralized,0.2,500075,14,10,400,2820,0.31843971631205675,2.245,23.222521647387662,44.83427308363323,266.0,0.22852233676975944,65,1.2295081967213115,4,4,9
antsql,0.2,500075,14,10,400,2820,0.24716312056737588,1.7425,18.475133585854017,41.60386485054434,388.0,0.3576036866359447,65,4.967741935483871,3,4,9
adaptive_centralized,0.2,500075,14,10,400,2820,0.3351063829787234,2.3625,24.972038339321866,54.11432407115602,266.0,0.21965317919075145,65,1.180327868852459,4,6,9
antsql,0.2,500075,14,10,400,2820,0.2978723404255319,2.1,24.58714831016313,59.82820828835151,398.0,0.32148626817447495,65,1.9,5,6,9
adaptive_centralized,0.2,500075,14,10,400,2820,0.3372340425531915,2.3775,25.598973242662307,54.11432407115602,266.0,0.21857025472473296,65,0.9344262295081968,4,8,9
antsql,0.2,500075,14,10,400,2820,0.32978723404255317,2.325,32.67010564936717,82.04796991762967,361.0,0.2796281951975213,65,2.6666666666666665,5,8,9
adaptive_centralized,0.2,500075,14,10,400,2820,0.33794326241134753,2.3825,25.835784082240707,54.11432407115602,266.0,0.21821164889253486,65,1.5737704918032787,4,10,9
antsql,0.2,500075,14,10,400,2820,0.3141843971631206,2.215,31.071128050926056,83.93667948627103,374.0,0.2968253968253968,65,3.0166666666666666,5,10,9
adaptive_centralized,0.2,500075,14,10,400,2820,0.33794326241134753,2.3825,25.835784082240707,54.11432407115602,266.0,0.21821164889253486,65,1.5737704918032787,4,15,9
antsql,0.2,500075,14,10,400,2820,0.350354609929078,2.47,35.80902176097846,87.83454725365755,457.0,0.31626297577854673,65,4.783333333333333,5,15,9
adaptive_centralized,0.2,500075,14,10,400,2820,0.33794326241134753,2.3825,25.835784082240707,54.11432407115602,266.0,0.21821164889253486,65,1.5737704918032787,4,25,9
antsql,0.2,500075,14,10,400,2820,0.350354609929078,2.47,35.80902176097846,87.83454725365755,457.0,0.31626297577854673,65,4.783333333333333,5,25,9
adaptive_centralized,0.2,510723,14,10,400,2751,0.7451835696110505,5.125,19.128748644872132,32.18741323225913,266.0,0.114853195164076,51,2.0588235294117645,0,4,10
antsql,0.2,510723,14,10,400,2751,0.5917848055252636,4.07,22.373543713632564,43.61879557287332,801.0,0.3297653355290243,51,0.86,1,4,10
adaptive_centralized,0.2,510723,14,10,400,2751,0.7844420210832425,5.395,20.39619511276554,35.24481992358116,266.0,0.10973597359735973,51,2.450980392156863,0,6,10
antsql,0.2,510723,14,10,400,2751,0.7368229734641948,5.0675,26.649458978958815,50.6140076141546,800.0,0.2829854969932791,51,0.0,3,6,10
adaptive_centralized,0.2,510723,14,10,400,2751,0.7884405670665212,5.4225,20.71058769627459,35.289070426560656,266.0,0.10924024640657085,51,2.450980392156863,0,8,10
antsql,0.2,510723,14,10,400,2751,0.821882951653944,5.6525,31.98698529702223,62.24053931401181,716.0,0.24051058112193482,51,0.0,0,8,10
adaptive_centralized,0.2,510723,14,10,400,2751,0.7884405670665212,5.4225,20.71058769627459,35.289070426560656,266.0,0.10924024640657085,51,2.450980392156863,0,10,10
antsql,0.2,510723,14,10,400,2751,0.8429661941112323,5.7975,36.663211070639115,75.39571339143569,765.0,0.2480544747081712,51,1.5686274509803921,0,10,10
adaptive_centralized,0.2,510723,14,10,400,2751,0.7884405670665212,5.4225,20.71058769627459,35.289070426560656,266.0,0.10924024640657085,51,2.450980392156863,0,15,10
antsql,0.2,510723,14,10,400,2751,0.8600508905852418,5.915,38.75690209222923,78.7179310434853,887.0,0.2726713802643714,51,0.3333333333333333,0,15,10
adaptive_centralized,0.2,510723,14,10,400,2751,0.7884405670665212,5.4225,20.71058769627459,35.289070426560656,266.0,0.10924024640657085,51,2.450980392156863,0,25,10
antsql,0.2,510723,14,10,400,2751,0.8600508905852418,5.915,38.75690209222923,78.7179310434853,887.0,0.2726713802643714,51,0.3333333333333333,0,25,10
adaptive_centralized,0.2,428859,14,10,400,2770,0.49927797833935017,3.4575,17.895796295051696,33.85061420961848,266.0,0.16130988477865374,54,1.6981132075471699,1,4,11
antsql,0.2,428859,14,10,400,2770,0.4090252707581227,2.8325,17.198074672640388,31.669921161056134,557.0,0.329585798816568,54,0.8148148148148148,0,4,11
adaptive_centralized,0.2,428859,14,10,400,2770,0.5335740072202166,3.695,19.583341752576427,38.23903232434656,266.0,0.15252293577981652,54,2.843137254901961,3,6,11
antsql,0.2,428859,14,10,400,2770,0.5083032490974729,3.52,23.23908632326193,47.65584310912046,598.0,0.29810568295114653,54,0.5283018867924528,1,6,11
adaptive_centralized,0.2,428859,14,10,400,2770,0.535740072202166,3.71,19.705719708886072,38.23903232434656,266.0,0.152,54,2.843137254901961,3,8,11
antsql,0.2,428859,14,10,400,2770,0.5418772563176896,3.7525,25.87903508814355,53.124471581054834,542.0,0.26529613313754286,54,0.6226415094339622,1,8,11
adaptive_centralized,0.2,428859,14,10,400,2770,0.535740072202166,3.71,19.705719708886072,38.23903232434656,266.0,0.152,54,2.843137254901961,3,10,11
antsql,0.2,428859,14,10,400,2770,0.540072202166065,3.74,26.984131851168126,57.416341445972876,570.0,0.2758954501452081,54,2.9444444444444446,0,10,11
