strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
static_centralized,0.3,866582,14,10,400,2727,0.30583058305830585,2.085,21.305436955276335,37.04447392616112,0.0,0.0,102,6.2105263157894735,7,4
static_centralized,0.3,816798,14,10,400,2768,0.39559248554913296,2.7375,13.748960556166523,25.65719606263247,0.0,0.0,89,0.36470588235294116,4,5
static_centralized,0.3,620768,14,10,400,2808,0.3660968660968661,2.57,19.462707243651646,37.104631153479865,0.0,0.0,89,2.3333333333333335,8,6
static_centralized,0.3,86648,14,10,400,2808,0.32905982905982906,2.31,14.605427787847002,32.22969678821327,0.0,0.0,99,0.8571428571428571,8,7
static_centralized,0.3,654449,14,10,400,2814,0.09772565742714996,0.6875,11.592096619218744,26.021203441036896,0.0,0.0,88,1.6206896551724137,1,8
static_centralized,0.3,105433,14,10,400,2905,0.15008605851979345,1.09,10.388265098685208,25.030768454441773,0.0,0.0,95,3.627659574468085,0,9
static_centralized,0.3,556329,14,10,400,2751,0.17411850236277718,1.1975,26.138234790566067,66.00803968346844,0.0,0.0,100,2.05,0,10
static_centralized,0.3,72784,14,10,400,2794,0.25626342161775234,1.79,12.757886756359797,22.98361838553382,0.0,0.0,93,1.8064516129032258,0,11
static_centralized,0.3,555124,14,10,400,2794,0.37473156764495347,2.6175,14.82354737983028,28.78344110693061,0.0,0.0,101,1.2142857142857142,3,12
static_centralized,0.3,379789,14,10,400,2797,0.20414730067929926,1.4275,13.927773482330316,33.37388711604427,0.0,0.0,99,3.4343434343434343,0,13
static_centralized,0.3,649989,14,10,400,2767,0.38127936393205636,2.6375,17.411212860019397,31.759465458632725,0.0,0.0,74,5.083333333333333,2,14
static_centralized,0.3,260816,14,10,400,2733,0.16428832784485914,1.1225,15.346753488101779,30.61911976656151,0.0,0.0,89,2.4157303370786516,0,15
static_centralized,0.3,896007,14,10,400,2814,0.42786069651741293,3.01,23.047165222213163,43.13428251527386,0.0,0.0,83,6.036144578313253,0,16
static_centralized,0.3,329978,14,10,400,2727,0.37257059039237256,2.54,15.810021917574199,28.8296422795264,0.0,0.0,99,3.0707070707070705,0,17
static_centralized,0.3,572321,14,10,400,2784,0.3897270114942529,2.7125,19.596615814558586,39.54162121901575,0.0,0.0,82,0.525,2,18
static_centralized,0.3,955905,14,10,400,2769,0.1697363669194655,1.175,15.061045752836941,34.26776714806589,0.0,0.0,92,12.153846153846153,0,19
adaptive_centralized,0.0,372946,14,10,400,2772,1.0,6.93,21.93995509393795,38.0392090235057,266.0,0.08755760368663594,0,,0,0
adaptive_centralized,0.0,55242,14,10,400,2869,1.0,7.1725,21.99132817882023,36.46580073578955,266.0,0.08484848484848485,0,,0,1
adaptive_centralized,0.0,829637,14,10,400,2812,1.0,7.03,20.04831241484518,36.36006682254849,266.0,0.08641975308641975,0,,0,2
adaptive_centralized,0.0,927963,14,10,400,2765,1.0,6.9125,22.417190368106912,36.60512815921855,266.0,0.08775981524249422,0,,0,3
adaptive_centralized,0.0,944741,14,10,400,2848,1.0,7.12,21.945873918576147,34.09536503026546,266.0,0.08542068079640334,0,,0,4
adaptive_centralized,0.0,17985,14,10,400,2864,1.0,7.16,23.705732139859307,36.14424451377803,266.0,0.08498402555910543,0,,0,5
adaptive_centralized,0.0,279821,14,10,400,2806,1.0,7.015,18.79984138914799,30.774456138662316,266.0,0.08658854166666667,0,,0,6
adaptive_centralized,0.0,468941,14,10,400,2878,1.0,7.195,20.882146948316517,33.502576683242815,266.0,0.0846055979643766,0,,0,7
adaptive_centralized,0.0,40986,14,10,400,2848,1.0,7.12,15.785240379119912,26.8454186364993,266.0,0.08542068079640334,0,,0,8
adaptive_centralized,0.0,36437,14,10,400,2776,1.0,6.94,19.842730426067867,31.737924782759183,266.0,0.08744247205785667,0,,0,9
adaptive_centralized,0.0,159455,14,10,400,2858,1.0,7.145,18.414848758047523,33.8195099284815,266.0,0.0851472471190781,0,,0,10
adaptive_centralized,0.0,392983,14,10,400,2891,1.0,7.2275,23.09362533432055,37.31764964028625,266.0,0.08425720620842572,0,,0,11
adaptive_centralized,0.0,653062,14,10,400,2674,1.0,6.685,23.030589035059613,38.00148079232929,266.0,0.09047619047619047,0,,0,12
